2.09262;43.3913;3;f
3.06367;6.90271;5;f
3.07233;16.074;5;f
2.70319;5.3239;3;f
5.51144;6.37214;6;f
3.0376;5.08069;5;f
55.5933;11.6167;6;f
10.1188;6.56155;3;f
36.3653;4.33895;5;f
9.96917;5.57399;5;f
12.2485;4.51453;5;f
9.8329;8.77029;5;f
4.57928;5.63168;1;f
1.73247;0.010052;1;f
2.18351;0.012805;1;f
2.26936;0.0131118;1;f
2.13994;0.012358;1;f
2.21627;0.0133371;1;f
2.14965;0.0123372;1;f
2.18352;0.0129011;1;f
2.18893;0.013212;1;f
2.16262;0.0131221;1;f
2.19528;6.41557;1;f
2.4134;2.97608;1;f
2.178;7.46732;1;f
1.28069;7.62884;1;f
2.18789;22.6962;5;f
3.06788;9.28316;7;f
2.46593;7.8898;6;f
2.63614;3.41044;6;f
4.21746;4.0448;6;f
3.61243;3.30748;6;f
1.92117;4.72224;3;f
4.42951;3.23564;7;f
2.11372;3.56979;3;f
1.90532;0.714732;3;f
4.22191;0.655432;7;f
1.68489;1.54747;1;f
1.78715;1.45933;2;f
1.92299;0.688021;3;f
1.91367;0.685999;3;f
3.5106;1.09195;4;f
2.14353;0.947304;4;f
2.04433;0.706905;4;f
2.58142;1.24113;5;f
2.62733;0.916278;5;f
2.71828;0.990346;5;f
4.01829;1.43764;5;f
3.3;1.16986;6;f
3.2497;1.24991;6;f
3.20022;1.20704;6;f
2.55012;0.821671;4;f
2.68152;1.12662;5;f
2.66069;0.935681;5;f
3.0939;1.2013;5;f
2.74697;1.22528;5;f
3.85768;0.706081;7;f
3.79955;0.864197;7;f
3.90123;0.791797;7;f
5.68868;1.07056;7;f
6.5988;1.34863;9;f
6.83425;1.22039;9;f
2.5406;0.901847;3;f
2.48137;14.7986;3;f
1.51666;0.994295;3;f
2.72124;0.501406;7;f
2.80569;0.602893;7;f
2.73836;0.43897;7;f
3.76802;0.563843;7;f
2.94191;0.534179;7;f
2.7064;0.588712;7;f
2.71604;0.475691;7;f
2.79467;0.460778;7;f
2.60576;0.513832;7;f
2.78212;0.561229;7;f
2.92497;0.553755;7;f
2.72564;0.558665;7;f
2.69939;0.542505;7;f
2.73772;0.541187;7;f
2.74219;0.524571;7;f
3.20937;0.6435;7;f
4.495;0.835169;7;f
4.29077;0.66575;7;f
3.6201;0.827528;7;f
3.41924;0.66179;7;f
1.39476;11.4839;3;f
1.38113;10.6498;3;f
1.3809;29.1024;3;f
1.36106;14.7471;3;f
1.37024;10.4234;3;f
3.28401;7.85177;3;d
3.31784;33.0519;3;d
