BuildTime;SearchTime;Nthreads;data_type;points_found
0.547664;0.259175;15;100000;1164
1.41229;0.766402;31;100000;1164
6.19492;1.90157;3;d;35790
9.63871;1.70193;7;d;35790
23.0371;1.60098;15;d;35790
43.934;2.6918;31;d;35790
1.80977;0.62383;3;f;211730
4.12152;0.638614;7;f;211730
14.4071;1.98339;15;f;211730
50.2053;3.07571;31;f;211730
0.000354052;0.000362873;3;1000;21
0.0342081;0.0760341;7;1000;21
0.20731;0.160382;15;1000;21
0.366981;0.586159;31;1000;21
0.00401998;0.00406694;3;10000;124
0.090076;0.0331781;7;10000;124
0.851562;0.299985;15;10000;124
1.47126;0.47427;31;10000;124
0.0348752;0.080261;3;100000;1164
0.18852;0.169193;7;100000;1164
0.701173;0.415369;15;100000;1164
1.46148;0.840868;31;100000;1164
6.93239;1.59631;8;d;22022
6.41152;3.29445;4;d;22022
5.50037;7.06798;1;d;35790
5.8061;6.81803;2;d;35790
0.0239849;0.234792;1;100000;1172
2.26699;2.95782;1;f;211730
0.30932;3.37664;1;1000000;11805
7.50431;0.797441;16;d;22022
2.38385;2.86155;2;f;211730
2.57684;1.37655;4;f;211730
0.0406191;0.256471;2;100000;1172
7.74847;0.387099;32;d;22022
0.0594859;0.101069;4;100000;1172
5.24753;6.84704;1;d;35790
2.79553;0.718015;8;f;211730
0.097569;0.052789;8;100000;1172
2.98863;0.336749;16;f;211728
2.11711;2.82452;1;f;211730
0.023006;0.236252;1;100000;1172
0.336049;3.13974;2;1000000;11805
2.93484;0.199233;32;f;209057
0.605915;1.25856;4;1000000;11805
0.229493;3.13823;1;1000000;11805
0.290865;0.024791;16;100000;1172
0.788107;0.630627;8;1000000;11805
0.908151;0.293625;16;1000000;11805
0.142503;0.0242929;32;100000;1172
0.982513;0.140229;32;1000000;11805
2.47502;47.0916;1;10000000;118011
5.1545;6.71963;1;d;35790
6.02951;18.1662;4;10000000;118011
2.10492;2.82029;1;f;211730
0.023175;0.224735;1;100000;1172
0.221372;3.0242;1;1000000;11805
2.58824;46.2329;1;10000000;118011
3.87386;45.6743;2;10000000;118011
8.04956;8.22846;8;10000000;118011
5.05724;6.56511;1;d;35790
2.04967;2.77198;1;f;211730
6.55666;7.05335;2;d;35790
9.48617;4.01719;16;10000000;118011
0.022613;0.222253;1;100000;1172
0.221439;3.22442;1;1000000;11805
6.40789;3.31623;4;d;22022
10.1936;1.78525;32;10000000;118011
2.31948;2.72906;2;f;211730
6.95195;1.66787;8;d;22022
7.1916;0.748455;16;d;22022
2.44142;47.5673;1;10000000;118011
2.47785;1.33966;4;f;211730
2.64514;0.63523;8;f;211730
0.035543;0.22019;2;100000;1172
0.079021;0.105841;4;100000;1172
0.094677;0.0680048;8;100000;1172
2.72005;0.337248;16;f;211728
0.107627;0.0239658;16;100000;1172
0.336213;3.02796;2;1000000;11805
0.572431;1.23529;4;1000000;11805
7.89406;0.392819;32;d;22022
3.05585;0.192538;32;f;209057
2.64837;46.4397;1;10000000;118011
0.110825;0.0147972;32;100000;1172
0.767138;0.601977;8;1000000;11805
0.918419;0.299844;16;1000000;11805
1.00743;0.162497;32;1000000;11805
6.41771;19.3804;4;10000000;118011
5.38048;6.616;2;d;35790
0.0587399;0.100744;3;100000;1172
